1	1369.50343299	1434.87277389	1444.99913597	1454.99095607	1448.3913219
2	770.150979996	778.968099117	779.064028978	772.51947999	772.2114079
3	547.642634869	563.424947023	566.005437851	545.283979893	566.672791004
4	451.988771915	456.153102875	455.129734993	455.118957996	453.754562855
5	385.249369144	406.668713093	387.02363801	406.321663141	383.338765144
6	362.618270159	364.812253952	362.828013897	364.827300787	363.550902128
7	345.607978106	336.41857481	345.87767911	337.903305054	336.024708986
8	326.37650609	326.867077827	310.591379881	312.521841049	311.944956064
9	311.498779058	310.419034958	308.612720013	311.145787001	304.150774956
10	308.658890009	308.417086124	310.601330042	310.125575066	310.798279047
11	297.29825592	297.881849051	300.246556997	297.568172932	298.10584712
12	293.631860018	275.170428991	293.07483983	291.927170992	293.126492023
13	279.954134941	283.192635059	285.260349989	277.462168932	282.377929211
14	285.82937789	285.691336155	284.630666971	284.137037992	284.722404957
15	274.490809917	281.492206812	279.664554119	279.082060099	279.020203829
16	268.462530136	275.665678978	274.677161932	276.514267206	277.277896881
17	270.115304947	275.737597942	274.931452036	276.233593941	264.961567879
18	272.552907944	273.042433977	269.837553024	272.224849939	273.521368027
19	270.137062073	266.943377018	264.972542048	270.243623972	269.119829178
20	266.612163067	264.147011995	266.789729118	268.382591009	266.677037001
